department,question
勞動部勞工保險局,3. 我要如何申辦勞動保障卡？可到哪幾家銀行申辦？是否需支付費用？可以同時向多家銀行申請多張勞動保障卡嗎？不慎遺失勞動保障卡，該如何辦理？
勞動部勞工保險局,8. 我有投保勞保是不是就可以申請墊償？可以墊付的範圍？申請的金額是以實際工資或勞保投保薪資計算？
勞動部勞工保險局,5. 勞動保障卡、郵政金融卡可查詢哪些內容呢？
勞動部勞工保險局,3. 我請領勞工退休金後又繼續工作所提繳的退休金（續提退休金）要怎麼請領？可以用自然人憑證上網申請續提退休金嗎？請領續提退休金是否有時間限制？
勞動部勞工保險局,1. 我是參加勞退新制的勞工，什麼時候可以領取新制退休金呢？要如何辦理？需要由公司幫我申請嗎？ 
勞動部勞工保險局,30.原選擇適用勞動基準法之退休金制度(舊制)之工友(含技工、駕駛)，如99年7月1日後配合政府員額精簡政策移撥改僱，得否在新單位改選適用勞工退休金條例之退休金制度(新制)？
勞動部勞工保險局,2. 勞工退休金個人專戶的各月份資料，何時可查詢得到？
勞動部勞工保險局,2. 我已經從公司退休了，但還沒滿60歲，可以先請領個人專戶的退休金嗎？未滿60歲前失業的話，可以提前請領退休金嗎？
勞動部勞工保險局,5. 勞退新制工作年資如何計算？我曾轉換工作，不同公司的工作年資可以合併計算嗎？如果我留職停薪1年，工作年資是否照計？我爸爸領取退休金後又繼續工作，他的工作年資又該如何計算？
勞動部勞工保險局,26.「外國專業人才延攬及僱用法」(以下簡稱外專法)將哪些人員納入勞退新制適用對象？
勞動部勞工保險局,25. 外籍配偶、陸港澳地區配偶納入勞退新制適用對象，該類人員應如何提繳退休金？
勞動部勞工保險局,7. 我未滿60歲領有重度以上身心障礙手冊（證明）且已無工作能力可以提前請領勞工退休金嗎？
勞動部勞工保險局,27.外專法施行前受聘僱之永久居留外國專業人才，自何時起適用勞退新制？
勞動部勞工保險局,28.外專法施行後受聘僱之永久居留外國專業人才，自何時起適用勞退新制？
勞動部勞工保險局,4. 我要如何申請郵政金融卡查詢勞退、勞保資料服務？是否須支付費用？可以同時申請勞動保障卡及郵政金融卡查詢服務嗎？
勞動部勞工保險局,6. 我與雇主結清舊制的退休金全額移入勞保局工作年資是否可以併計？如果只移入一半的結清金，年資可以併計一半嗎？什麼時候可以請領月退休金？
勞動部勞工保險局,24.部分工時、短期工作人員之勞退提繳工資應如何申報？
勞動部勞工保險局,22. 勞工退休金滯納金是如何計算的？滯納金如逾限未繳，勞保局會怎麼處理？
勞動部勞工保險局,21. 如何辦理勞工退休金轉帳代繳？轉帳代繳扣款日是那一天？如扣款時帳戶存款不足，勞保局如何處理？
勞動部勞工保險局,"18. 工資高於職保最高級數（72,800元）或低於勞保最低級數（11,100元），可否填寫合一加保申報表申報提繳勞工退休金？工資如何填寫？另工資低於基本工資的部分工時人員如何提繳退休金？"
勞動部勞工保險局,4. 勞工死亡其退休金由誰請領？遺屬請領勞工退休金有先後順序嗎？勞工在生前可不可以指定順位遺屬以外的請領人請領勞工退休金？
勞動部勞工保險局,15. 我爸爸是鄉公所多元就業方案進用的人員，為什麼鄉公所沒有幫他提繳勞工退休金呢？
勞動部勞工保險局,17. 加班費要不要納入勞工退休金月提繳工資申報？年終或三節獎金呢？
勞動部勞工保險局,12. 公立單位（含公立機關、公立學校、公立醫院）可以用勞保局網站上的合一表格替新進員工辦理加保及提繳勞工退休金嗎？
勞動部勞工保險局,29.申報永久居留外國專業人才提繳退休金作業需檢附之證明文件？
勞動部勞工保險局,14. 公司配合政府推廣的青年職場體驗計畫，進用了一批見習訓練青年，他們是不用提繳勞工退休金，我在替他們辦理加保時要怎樣申報才不會被提繳退休金？如果這些見習訓練青年做得不錯，日後我想僱用他們，到時如何申報提繳勞工退休金？
勞動部勞工保險局,9. 雇主應該負擔的退休金如何計算？如果沒有全月在職又該如何計算？
勞動部勞工保險局,11. 哪些人是勞退新制的強制提繳對象？是不是參加勞保之員工，雇主才須提繳勞工退休金？
勞動部勞工保險局,13. 受委任工作者及不適用勞基法之勞工，要如何自願提繳勞工退休金？如果還在上班，但不想自提了，要如何停止提繳？另外，年齡超過60歲還可以提繳退休金嗎？
勞動部勞工保險局,20. 公司在什麼情況需向勞保局申報變更基本資料？公司改電話號碼要不要申報變更？如何申報？公司何時要申報員工基本資料變更？
勞動部勞工保險局,5. 我已經退休領過勞保退休金，再去工作的話，老闆還需要幫我提繳勞工退休金嗎？何時能請領勞工退休金？
勞動部勞工保險局,10. 勞保局何時會寄退休金繳款單？應於何時繳納？如何繳納？
勞動部勞工保險局,3. 老闆從我薪水內扣除雇主應負擔6%的勞工退休金，這樣合法嗎？我要如何保障我的權益？
勞動部勞工保險局,2. 我選了勞退新制後，舊制年資就不見了嗎？我可以要求老闆先結清舊制年資退休金嗎？老闆可以不同意嗎？
勞動部勞工保險局,8.月提繳工資是以全薪、底薪或實領薪資提繳？如有變動應於何時申報？何時生效？如果我每月的薪水都不固定，又應該如何申報調整?應填何種表格申報調整？
勞動部勞工保險局,1. 我要怎麼知道自己是適用勞退新制還是舊制？
勞動部勞工保險局,4. 雇主沒有按時繳納墊償提繳費會不會被處罰？對勞工會有影響嗎？
勞動部勞工保險局,5. 只有參加就業保險或職業災害保險之勞工，要不要提繳積欠工資墊償基金？
勞動部勞工保險局,23. 勞工查詢勞工退休金個人專戶儲存情形，發現公司有數月未提繳勞工退休金，請問勞保局如何處置？勞工的權益又如何保障？
勞動部勞工保險局,6. 我在速食店打工，老闆需要幫我提繳勞工退休金嗎？另外，我總共在3個不同的速食店打工，是只要其中一個店幫我提繳就好？還是每一個店都要幫我提繳？
勞動部勞工保險局,3. 勞工是不是加入勞保，就適用積欠工資墊償基金制度？公司如果僱用不適用勞基法人員時要如何為其辦理投保？
勞動部勞工保險局,2. 要如何繳納積欠工資墊償基金？勞工要負擔嗎？公司已繳納的積欠工資墊償基金，在公司歇業後沒有發生積欠員工工資、退休金或資遣費時，可否退還？
勞動部勞工保險局,19. 老闆想為員工調整雇主提繳率要用什麼表格申報？申報時應注意什麼？申報後從什麼時候開始調整生效？另外，公司的員工想調整個人自願提繳率要用什麼表格申報？調整生效的時點和雇主提繳率調整一樣嗎？提繳率調整1年內是否只能調2次？1年內如何計算？
勞動部勞工保險局,3. 請領失蹤津貼的請求時間為何？
勞動部勞工保險局,16. 我最近身體不太好，向公司請病假請了1個月，公司說我整個月沒來上班，要把我的勞工退休金停掉，這是合法的嗎？如果是向公司申請留職停薪的情況呢？另外，如果是遭遇職災的話，又有什麼不同？
勞動部勞工保險局,1. 遭遇職業傷害或罹患職業病，應如何就診？
勞動部勞工保險局,4. 可以請領失蹤津貼的期限為何？
勞動部勞工保險局,24. 領取老年年金之後死亡，遺屬要通知勞保局嗎？
勞動部勞工保險局,23. 老年給付要不要扣稅？
勞動部勞工保險局,22. 負責人是否一定要加勞保？以後可以申請老年給付嗎？領了老年給付後就不能再當負責人了嗎？
勞動部勞工保險局,20. 一次請領勞保老年給付者，其60歲以後年資最多只採計5年，那無法計算年資的投保期間，是不是可以在請領老年給付時辦理退費？
勞動部勞工保險局,19. 選擇一次請領勞保老年給付者，60歲以後如果繼續在職工作，而年資累計已達5年無法再增加，是不是可以先辦理退保？
勞動部勞工保險局,21. 選擇一次請領老年給付還是年金比較有利？一次請領可領多少？領年金每月可領多少？勞保局可以提供試算參考嗎？
勞動部勞工保險局,18. 老年給付申請一次請領和申請按月領取年金，年資計算規定有不同嗎？
勞動部勞工保險局,1. 被保險人失蹤，可否請領保險給付？
勞動部勞工保險局,1. 什麼是積欠工資墊償基金？有甚麼用途？在何處可獲得相關的資訊？
勞動部勞工保險局,4. 老闆說公司只有3個員工，沒有強制加勞保，所以也不必提勞工退休金給我，這是對的嗎？
勞動部勞工保險局,13. 如果我提前3年請領老年年金，領了3年後到60歲時，是不是可改領全額的老年年金，不必再扣減比例？
勞動部勞工保險局,12. 聽說老年年金可以提前領，是真的嗎？
勞動部勞工保險局,14. 如果提前請領老年年金，領了一段時間又找到工作，可以反悔不領嗎？
勞動部勞工保險局,10. 如果我99年1月已經60歲，保險年資25年，並已退出勞保，本來還想再找工作，但到62歲還是沒有找到，這樣我可以領多少老年年金？ 
勞動部勞工保險局,25. 勞保老年給付委託投保單位線上申辦作業相關Q&A
勞動部勞工保險局,8. 勞保年金施行時我是50歲，請問我要到何時才能請領老年年金給付？
勞動部勞工保險局,7. 我在98年1月1日勞保年金實施後才參加勞保，以後我是不是也可以一次請領老年給付？ 
勞動部勞工保險局,17. 勞保老年給付是不是只要符合年資和年齡的規定就可以請領？
勞動部勞工保險局,11. 如果我在99年4月已經滿60歲，保險年資30年，並已退出勞保，到99年12月才提出申請，延後請領還不滿1年，是不是就不能增給年金金額？ 
勞動部勞工保險局,6. 老年給付的請領時效是幾年？
勞動部勞工保險局,9. 我已經離職退保多年，如果在65歲要申請老年給付，請問還要經過投保單位蓋章嗎？
勞動部勞工保險局,7. 老闆每個月都有幫我提繳6％的勞工退休金，我自己也想自願提繳，提繳率是多少？要如何申請？如何繳費？自願提繳退休金有什麼好處呢？何時可以領回？
勞動部勞工保險局,5. 請領老年給付的年齡，係按實足年齡抑或虛齡為準？ 
勞動部勞工保險局,15. 如果勞工保險年資未滿15年，但是合併國民年金保險年資達15年，勞保可不可以選擇請領老年年金？
勞動部勞工保險局,2. 老年一次金給付的請領資格及給付標準各如何？
勞動部勞工保險局,4. 申請老年給付要準備哪些文件？
勞動部勞工保險局,1. 老年年金給付的請領資格及給付標準各如何？
勞動部勞工保險局,26.失能年金給付如何計算？
勞動部勞工保險局,24. 領取失能年金給付期間，是否還能繼續加保？還能領老年給付嗎？
勞動部勞工保險局,23. 經個別化專業評估後相關權益會有差別嗎？失能年金給付金額如何計算？
勞動部勞工保險局,25.什麼人才可以請領失能年金給付？
勞動部勞工保險局,21. 如果想透過個別化專業評估領年金，但已寄送了舊表格，可以更換申請失能年金嗎？
勞動部勞工保險局,27.如果被保險人在參加勞保期間發生重度失能，符合請領失能年金給付，如果曾經參加國保5年，可不可以合併計算？
勞動部勞工保險局,19. 是不是請領「失能年金給付」都要進行個別化專業評估？
勞動部勞工保險局,20. 經過個別化專業評估後，是不是就一定可以按月領年金？
勞動部勞工保險局,16. 被保險人在7月31日月底離職退保，同時申請勞保老年年金給付，老年年金什麼時候開始發給?
勞動部勞工保險局,18. 個別化專業評估機制施行後，失能給付的申請方式有無不同？如何申請個別化專業評估？
勞動部勞工保險局,16. 為什麼要增訂「個別化專業評估機制」？有無法令依據？
勞動部勞工保險局,14. 勞保被保險人退保後經診斷確定罹有職業病且診斷永久失能者，得否請領職業災害保險給付？
勞動部勞工保險局,17. 個別化專業評估機制何時施行？施行前同一失能狀況已領一次金，是否能透過評估機制改領年金給付？
勞動部勞工保險局,29.勞保失能年金加發眷屬補助線上申辦作業相關Q&A
勞動部勞工保險局,2. 申請失蹤津貼要準備哪些文件？
勞動部勞工保險局,13. 被保險人申請失能給付是否應退保？
勞動部勞工保險局,12. 女性被保險人因罹患子宮肌瘤致切除子宮診斷失能時已年逾45歲，可否請領失能給付？
勞動部勞工保險局,9. 勞保被保險人因車禍撞斷8顆牙齒，可否申請失能給付？
勞動部勞工保險局,3. 一次請領老年給付的請領資格及給付標準各如何？
勞動部勞工保險局,6. 勞保被保險人年逾60歲，加保20年餘，因腦溢血經治療後呈植物人狀態，可否分別請領老年年金及失能年金給付？
勞動部勞工保險局,28.勞保普通失能給付線上申辦作業相關Q&A
勞動部勞工保險局,5. 被保險人請領失能年金給付，如有配偶及子女，是否可加發眷屬補助？加發條件為何？
勞動部勞工保險局,10. 胸腹部臟器器官移植是否可領失能給付？
勞動部勞工保險局,3. 被保險人可以在那裡索閱勞保失能給付標準之相關資料？
勞動部勞工保險局,8. 勞保被保險人曾參加國民年金保險，於請領失能給付時是否可以併計國民年金保險之年資？其給付金額應如何計算？
勞動部勞工保險局,2. 申請失能給付需要檢送那些文件？
勞動部勞工保險局,22. 進行個別化專業評估需多久時間？年金何時開始發給？
勞動部勞工保險局,1. 失能給付的請領資格及給付標準各如何？
勞動部勞工保險局,15. 勞保普通傷病給付部分改以簡訊通知取代書面寄送核定函Q&A
勞動部勞工保險局,15. 什麼是失能年金給付個別化專業評估機制？ 
勞動部勞工保險局,13. 被保險人罹患重大疾病並領有重大傷病卡，是否可申請傷病給付？ 
勞動部勞工保險局,7. 被保險人因重度失能，是否不論領取失能給付一次金或失能年金給付，日後死亡均不得再行請領死亡給付？
勞動部勞工保險局,10. 被保險人育嬰留職停薪期間罹患普通傷病住院治療，可否請領勞保普通傷病給付？
勞動部勞工保險局,14. 投保單位欠繳保險費，所屬被保險人因傷病住院可否申請傷病給付？ 
勞動部勞工保險局,8. 請領失能給付後，是否仍可請領傷病給付？
勞動部勞工保險局,4. 98年1月1日新修正之勞工保險條例施行後，失能給付是否只能按月領取？
勞動部勞工保險局,11. 洗腎病人是否可以請領失能給付？
勞動部勞工保險局,12. 被保險人發生職業傷害後，半天工作、半天到醫院復健，取得部分薪資，能不能申請職災傷病給付？
勞動部勞工保險局,11. 已依勞動基準法第59條規定，按原領工資數額取得補償費用者，是否得請領傷病給付？
勞動部勞工保險局,4. 傷病給付為何規定已取得原有薪資者，不得請領？ 
勞動部勞工保險局,5. 傷病給付為何規定自不能工作的第4日起發給？ 
勞動部勞工保險局,1. 被保險人如果生病或受傷住院了，怎樣申請傷病給付？ 
勞動部勞工保險局,18. 勞保生育給付委託投保單位線上申辦作業相關Q&A
勞動部勞工保險局,16. 透過戶政事務所通報申請勞保生育給付（一站式便民服務）相關Q&A
勞動部勞工保險局,2. 被保險人因普通傷病住院不滿4日或僅門診治療或出院後在家休養期間，可否請領傷病給付？
勞動部勞工保險局,6. 被裁減資遣被保險人於繼續參加勞工保險期間發生保險事故是否可申請傷病給付？
勞動部勞工保險局,12. 已經申請勞保生育給付，會在何時領到？
勞動部勞工保險局,14. 符合勞保生育給付請領條件，但不符公保生育給付請領條件之女性公務人員，於請領勞保生育給付後，得否再申請軍公教生育補助？
勞動部勞工保險局,9. 被保險人因普通傷病申請留職停薪期間且繼續參加勞保，如因傷病住院診療，可否請領傷病給付？
勞動部勞工保險局,9. 生育給付之請領時效有多久？
勞動部勞工保險局,8. 勞保女性被保險人在停保期間懷孕，嗣後在懷孕期間如有實際從事工作並參加勞保，且分娩前參加保險日數滿280日（早產滿181日），可否申請生育給付？
勞動部勞工保險局,7. 因普通傷病住院治療，住院期間請特別休假，沒有扣薪水(照領原薪)，可否申領傷病給付？
勞動部勞工保險局,17. 勞保生育給付個人線上申辦作業相關Q&A
勞動部勞工保險局,7. 申請生育給付是否一定要在同一個單位加保滿280日或181日以上？
勞動部勞工保險局,3. 被保險人發生傷病事故後即被退保可否請領傷病給付？
勞動部勞工保險局,15. 勞保生育給付改以簡訊通知取代書面寄送核定函Q&A
勞動部勞工保險局,6. 流產是否可以申請生育給付？
勞動部勞工保險局,1. 生育給付的請領資格及給付標準各如何？
勞動部勞工保險局,4.如果已開立就業保險給付、國民年金、勞退(月退)、農退儲金及老農津貼等專戶，是否可供存入勞保給付款項？
勞動部勞工保險局,3.要如何申請開立勞保給付專戶？
勞動部勞工保險局,2. 女性被保險人懷孕後因故離職退出勞保後分娩，可否請領生育給付？
勞動部勞工保險局,10. 勞保生育給付申請書是不是一定要經過投保單位蓋章提出申請？
勞動部勞工保險局,11. 申請生育給付是不是可以指定國內任何一家銀行或郵局的帳戶？
勞動部勞工保險局,漁會經清查其會員後，其被保險人有遷移戶址或作業區域已轉移者，可否辦理追溯退保註銷欠費？
勞動部勞工保險局,5. 女性被保險人分娩，如新生兒之出生證明書或戶籍謄本未記載生父姓名，可否請領生育給付？
勞動部勞工保險局,職業工會是否需列報被保險人欠費滿一年後，始能將其除名、退會？
勞動部勞工保險局,13. 已經寄出生育給付申請書，或已於網路申辦、或透過戶政事務所通報申請生育給付成功者，要如何查詢勞保局有沒有收到及處理進度？
勞動部勞工保險局,職業工會被保險人出國、入監服刑、入伍，若未通知原加保工會為其申報退保，而造成積欠保費，該如何辦理？
勞動部勞工保險局,漁會被保險人轉由其他投保單位投保時，若未通知原加保漁會為其申報退保，造成雙重加保問題，被保險人該如何辦理取消資格？
勞動部勞工保險局,職業工會被保險人所屬工會積欠保險費時，該如何申請給付？
勞動部勞工保險局,3. 申請生育給付要準備哪些文件？
勞動部勞工保險局,4. 先生有勞保太太無勞保，可否請領生育給付？
勞動部勞工保險局,職業工會被保險人轉由其他投保單位投保時，若未通知原加保工會為其申報退保，因雙重加保而產生之欠費問題，被保險人該如何處理？
勞動部勞工保險局,24.勞工如何查詢雇主是否欠繳勞保費？
勞動部勞工保險局,22. 投保單位或工、漁會被保險人積欠保險費未繳，被勞保局移送行政執行後，如收到行政執行分署寄發的傳繳通知該怎麼辦？
勞動部勞工保險局,25.為何職業工會、漁會須檢送勞工保險專戶存摺影本、勞工保險費收繳明細及使用情形表至勞保局備查? 應於何時檢送?
勞動部勞工保險局,職業工會、漁會被保險人如果有積欠保險費，應如何申請給付？
勞動部勞工保險局,職業工會被保險人如何得知所屬工會是否積欠保險費？
勞動部勞工保險局,19. 我為什麼會收到勞保局寄發的欠繳勞保費通知？ 
勞動部勞工保險局,1.什麼是勞保給付專戶？跟一般帳戶有何不同？
勞動部勞工保險局,23. 投保單位逾期未繳保險費對被保險人權益有何影響？
勞動部勞工保險局,17. 我在職業工會(漁會)加保期間，應繳納的保險費，超過期限未繳，該怎麼辦？
勞動部勞工保險局,16. 在職業工會、漁會加勞保的會員被保險人，每月保險費要何時繳納？ 
勞動部勞工保險局,13. 投保單位積欠保險費未繳，什麼情況下會被勞保局逕予退保？
勞動部勞工保險局,20. 我收到勞保局寄發的欠繳勞保費通知，要如何繳納欠費? 
勞動部勞工保險局,2.開立勞保給付專戶有什麼好處？
勞動部勞工保險局,18. 我在工會(漁會)加保時曾欠繳保險費或滯納金，會有什麼影響？ 
勞動部勞工保險局,10. 保險費繳款單沒收到，要如何補單?
勞動部勞工保險局,21. 我已經沒有從事與工、漁會相關行業工作或已轉入其它單位加保，該如何辦理？ 
勞動部勞工保險局,8. 發現勞工保險費重覆繳納的情形時，該怎麼辦？
勞動部勞工保險局,9. 我被裁減資遣了，如果自願繼續參加勞工保險，保險費要如何繳納?逾期未繳會有什麼影響？
勞動部勞工保險局,7. 以裁減人員身分繼續加保勞保局者，按規定皆須辦理轉帳代繳勞工保險費，為何轉帳扣款後未按月收到勞保局寄發之收據?
勞動部勞工保險局,14. 積欠保險費未繳，可否辦理分期繳納?辦理分期繳納後可以恢復給付嗎？
勞動部勞工保險局,11. 保險費逾期未繳，勞保局何時會催繳、限期繳納?
勞動部勞工保險局,12. 逾期未繳保險費會有什麼影響?
勞動部勞工保險局,6. 投保單位如果有遺失繳費證明的情形，該如何補發?
勞動部勞工保險局,51. 勞動合作社與社員間無僱傭關係，則社員可否加保？
勞動部勞工保險局,5. 投保單位已辦理轉帳代繳勞工保險費，但帳戶存款不足而扣帳失敗時該怎麼辦?
勞動部勞工保險局,1. 銀行排隊繳納保險費花時間，我該透過何種方式繳費才會更便利？
勞動部勞工保險局,50. 勞動合作社是否需為僱用之社員加保？
勞動部勞工保險局,4. 投保單位依規定扣、收繳被保險人自行負擔之保險費，是否應掣發收據?
勞動部勞工保險局,3. 投保單位已辦理轉帳代繳勞工保險費，勞保局是否還會寄發繳款單及收據?
勞動部勞工保險局,45. 我沒有領過勞保給付，以前繳交的勞保費可以申請退費嗎?
勞動部勞工保險局,44. 一月份申報調整勞保投保薪資，為何該月份之保險費並無增減？又為什麼繳款單上所列的單位負擔金額比「保險費分擔金額表」上的單位負擔金額多呢？
勞動部勞工保險局,48.新進員工至公司任職未滿3個月，如公司調整其薪資，應如何辦理投保薪資調整？
勞動部勞工保險局,47.被保險人因裁減資遣繼續加保，日後重新工作並在公司參加勞保，短期內如不確定可否持續工作，原加保於勞保局之部份可否不必辦理退保？
勞動部勞工保險局,46.被保險人申請老年給付時是否要同時提出退保表？
勞動部勞工保險局,15. 滯納金怎麼計算?
勞動部勞工保險局,41. 加保當月份天數如果是31日，其保險費與30日之月份有何差異？
勞動部勞工保險局,40. 聽說勞保中斷一段期間後，原有的勞保年資就會不見，是真的嗎？我之前勞保中斷2年，可以補繳保險費用將中斷的勞保銜接回來嗎？
勞動部勞工保險局,職業工會被保險人退保是否不用至工會辦退保手續，只需停繳保費即可？
勞動部勞工保險局,38. 投保單位未依規定申報員工參加勞保，或低報員工投保薪資，或未依規定負擔員工保險費用，有無相關罰則?
勞動部勞工保險局,36. 勞保部分工時、臨時工之勞保投保薪資應如何申報？
勞動部勞工保險局,43. 我之前受傷住院，勞保費有補助嗎?
勞動部勞工保險局,39. 我已經工作20年了，為什麼我的勞保年資還沒有滿20年呢?
勞動部勞工保險局,49.如何申請預辦勞保加、退保?
勞動部勞工保險局,35. 我們公司的員工每月薪資都不固定，勞保投保薪資應如何申報調整呢? 加班費也要列入申報投保薪資嗎? 
勞動部勞工保險局,29. 被保險人之姓名、出生年月日或國民身分證統一編號等需更正時，應如何辦理更正手續？
勞動部勞工保險局,28. 已申領勞工保險老年給付，如再從事工作，可否再參加保險？
勞動部勞工保險局,27. 被保險人在傷病請假不能工作期間，可否辦理退保？
勞動部勞工保險局,34. 我在工作中受傷遭老闆解僱退保，目前還在接受治療，勞保能繼續加保嗎? 如果可以繼續加保，要負擔多少保險費？保險費又應該如何繳納呢？
勞動部勞工保險局,25. 員工到、離職當日適逢週休二日、國定例假日、紀念日、勞動節日或因天然災害(颱風、豪雨等)經行政院人事行政總處公告停班之日，應如何申報加、退保?
勞動部勞工保險局,42. 被保險人於關係企業間調動，投保單位如何使用轉保申報表申報員工加、退保？
勞動部勞工保險局,23. 員工死亡忘記申報退保，其保險效力到什麼時候停止?
勞動部勞工保險局,2. 加保於一般單位之個人，可向勞保局申請補發繳費證明嗎？
勞動部勞工保險局,31. 我被公司資遣了，目前正在請領失業給付，勞保還能繼續加保嗎?
勞動部勞工保險局,32. 聽說同一間公司加保滿25年退職可以請領老年給付，那我如果被公司資遣加保在勞保局的保險年資，可與原任職公司的保險年資視為同一個投保單位的年資嗎？保險費又應該如何繳納呢？ 如果我未來找到工作，還可以繼續加保在勞保局嗎？
勞動部勞工保險局,26. 投保單位所送加保、轉保申報表，如有疏誤者，如何補正？
勞動部勞工保險局,33. 我們公司的員工想要申請育嬰留職停薪繼續加保，請問有無資格限制呢?保險費應如何繳納呢? 被保險人育嬰留職停薪期限屆滿復職時，是否需通知勞保局呢？
勞動部勞工保險局,19. 我們公司的顧問是否應參加勞保?
勞動部勞工保險局,24. 如員工已離職，目前又另任職其他單位，勞保局會自動將其前一投保單位勞保退保嗎？
勞動部勞工保險局,17. 我們公司將派遣員工至國外分公司服務，勞保應如何處理呢?
