部門 問題
外交部領事事務局 我5/31前在「網路預約系統」填寫的資料要重新預約嗎？如果填寫的資料需要變更要在哪裡修改？
外交部領事事務局 我5/31前在「網路填表系統」填寫的資料要如何列印及送件？
外交部領事事務局 請問我是中華民國國民，在臺灣也有戶籍，從來沒有出過國，我現在想申請護照，需不需要本人親自辦理，並請告訴我申請時有那些應注意的事情。
外交部領事事務局 我現在人並不在台灣，並且我是第一次申請護照，請告訴我申請手續。
外交部領事事務局 我是華裔，同時我持有外國護照，請問我可不可以申請護照？
外交部領事事務局 我國人與外國籍人士結婚所生的子女，可不可以申請我國護照？
外交部領事事務局 具有我國國籍的女子在海外所生的非婚生子女，是不是可以申請我國護照？
外交部領事事務局 外國人是否可以申請中華民國護照？
外交部領事事務局 我在國內申請護照，因為情況急迫希望能夠不按一般程序，儘快拿到護照，請問要如何辦理？
外交部領事事務局 請問我簡式護照資料表上的外文姓名要怎麼填寫？事後可不可以要求更改我的外文姓名？
外交部領事事務局 在臺沒有戶籍國民或因歸化取得中華民國國籍但未設籍國民，申請中華民國護照應準備什麼文件？
外交部領事事務局 我和配偶在臺灣都有戶籍，我的小孩是在國外出生，請問如何向我駐外館處申請我國護照？
外交部領事事務局 何種情形可申請加持第二本普通護照？效期為多久？
外交部領事事務局 我目前在大陸，急於由大陸搭機或經香港、澳門轉機返國，但我的中華民國護照逾期失效了（或護照遺失了），請問該怎麼辦？
外交部領事事務局 我目前在大陸地區，而我的中華民國護照效期已過（或快要過），請問我怎樣申請辦理換發新護照？
外交部領事事務局 我目前在大陸，而我的中華民國護照遺失了（尚未逾期），台胞證也掉了，請問我怎樣申請補辦護照？
外交部領事事務局 我的護照在國內（或國外）遺失了，要怎麼樣申辦，才可以領到一本新的護照？
外交部領事事務局 我的護照遺失了，已經申請辦理新護照但是後來我又找到了舊護照，請問這本舊護照是不是可以繼續使用？
外交部領事事務局 我現在旅居國外，準備申請在我的中華民國護照上加簽「僑居」身分，請問有什麼申請條件及手續？
外交部領事事務局 請問在國內申辦護照資料頁記載事項之加簽或修正，需要具備那些證件？
外交部領事事務局 我原是海外僑民，現在持駐外館處所發護照已返國定居，並且已領有國民身分證，我是不是可以申請將身分證的統一編號加簽在我的護照上？
外交部領事事務局 請問什麼是「役齡男子」？「役齡男子」取得護照後可否直接出國？
外交部領事事務局 我的兒子是在國外的小留學生，現已屆役齡，請問可否在國外申請換發護照？
外交部領事事務局 我的兒子人在國外（或大陸地區、香港、澳門）或拿外國護照入境，現已屆役齡，請問可否在國內申請換發護照？
外交部領事事務局 何謂晶片護照？
外交部領事事務局 晶片護照與現行護照有何不同？
外交部領事事務局 晶片護照與電子護照（electronic passport）、生物特徵辨識護照（biometric passport）有何不同？
外交部領事事務局 我國為何要發行晶片護照？
外交部領事事務局 使用晶片護照有何好處？
外交部領事事務局 任何人都可申請晶片護照嗎？
外交部領事事務局 如果我的護照效期還有效，需要申換晶片護照嗎？
外交部領事事務局 我目前旅居國外，請問要如何申請晶片護照？
外交部領事事務局 如何判別所持護照是否為晶片護照？
外交部領事事務局 晶片位於晶片護照何處？
外交部領事事務局 如何確認晶片所儲存資料與護照資料頁上所載基本資料一致？
外交部領事事務局 晶片護照使用上有無須注意事項？
外交部領事事務局 晶片護照正式發行後，於國外使用舊版護照是否會造成通關問題？
外交部領事事務局 如果護照上的晶片在通關時失效，該怎麼辦？
外交部領事事務局 具有我國國籍的男子在海外的非婚生子女，是不是可以申請中華民國護照？
外交部領事事務局 請問在什麼情形下我可以申請換發一本新護照？
外交部領事事務局 可以申辦沒有晶片的新護照嗎？
外交部領事事務局 申請晶片護照須具備哪些文件？
外交部領事事務局 申請晶片護照用照片規格為何？
外交部領事事務局 領取晶片護照使用後，可以修改護照上的個人資料嗎？
外交部領事事務局 晶片護照遺失了該怎麼辦？
外交部領事事務局 目前犯罪手法日新月異，請問護照上晶片資料是否會遭犯罪集團側錄盜用而侵犯持照人隱私權？
外交部領事事務局 申請中華民國簽證要準備哪些基本文件？
外交部領事事務局 外籍人士所持護照效期不足6個月，可不可以申請來臺簽證？
外交部領事事務局 在中華民國未設有任何館處之國家境內，應如何申請來臺簽證？
外交部領事事務局 曾經在大陸地區的人士，如果持其他國家的護照申請來臺簽證，有什麼特別的規定？
外交部領事事務局 特定國家人士來臺如何申請停留簽證？
外交部領事事務局 外籍人士持駐外館處所核發並加註不得延期之停留簽證入境中華民國後，如因罹患急性重症，或遇天災或其他不可抗力事故，致無法依限離境時，要如何處理？
外交部領事事務局 外籍人士與國人結婚，申請居留簽證應繳交證件為何？
外交部領事事務局 外籍人士應聘來臺工作，申請居留簽證應繳交證件為何？
外交部領事事務局 外籍人士在臺研習中文，申請居留簽證應繳交證件為何？
外交部領事事務局 僑生申請居留簽證，應該備妥哪些文件？
外交部領事事務局 僑生自行返國函介入學者申請居留簽證，應該備妥哪些文件？
外交部領事事務局 就讀大專校院之外國學生申請居留簽證，應該備妥哪些文件？
外交部領事事務局 就讀中等學校之外國學生申請居留簽證，應該備妥哪些文件？
外交部領事事務局 校際交換生申請居留簽證，應該備妥哪些文件？
外交部領事事務局 在臺灣以選讀生就學，可不可以申請居留簽證？
外交部領事事務局 外國籍人士取得中華民國的居留簽證以後，還要辦理什麼手續才能在臺居住？
外交部領事事務局 持外僑居留證，在臺單純逾期居留者應如何重新辦理入境簽證？
外交部領事事務局 APEC商務卡之申請資格及方式為何？
外交部領事事務局 什麼是電子簽證?
外交部領事事務局 誰具備申請電子簽證的資格?
外交部領事事務局 哪種護照可申請電子簽證?
外交部領事事務局 申請電子簽證需要哪些文件?
外交部領事事務局 我的電子簽證效期多久？
外交部領事事務局 申請人須在申請書上所載明的日期入境臺灣嗎?
外交部領事事務局 如果我有middle name，我應填入那個欄位？
外交部領事事務局 電子簽證的優點？
外交部領事事務局 電子簽證的申請費用？
外交部領事事務局 我在電子簽證網頁上刷卡安全嗎？
外交部領事事務局 如果我的電子簽證申請遭拒，網路繳費將會退還嗎？
外交部領事事務局 如果我沒有使用我的電子簽證，可以申請退費嗎？
外交部領事事務局 我已經知悉我的電子簽證上的資料和護照上的資料不完全相符，電子簽證無效。我可以要求退費嗎？
外交部領事事務局 我使用的信用卡要求3D驗證，但我無法收到交易驗證碼，我應該怎麼做？
外交部領事事務局 我輸入信用卡發卡銀行提供之3D驗證碼後，網頁顯示交易時間已過，我應該怎麼做？
外交部領事事務局 倘線上刷卡付款時網路斷線，該如何處理?
外交部領事事務局 倘網路斷線無法繼續填寫申請表時，該如何處理?
外交部領事事務局 如果我改變了旅行日期，可以申請更改簽證上的日期嗎？
外交部領事事務局 我必須為陪同者申請另一個簽證嗎？
外交部領事事務局 我可以取得多次入境的電子簽證嗎？
外交部領事事務局 我的電子簽證上的資料和護照上的資料不完全相符，可以以電子簽證入境臺灣嗎？
外交部領事事務局 我想待在臺灣的時間長於電子簽證的許可，我應該怎麼做？
外交部領事事務局 當我已經知悉在申請電子簽證表中所提供的資料必須修正時，我應該怎麼做？
外交部領事事務局 我已經提出了申請，什麼時候可以取得我的電子簽證？
外交部領事事務局 外交部領事事務局簽證核發系統告知我必須繳交額外的文件以供審查，我應該怎麼做？
外交部領事事務局 我應該在旅行日期前多久時間提出申請？
外交部領事事務局 我不想要申請電子簽證，可以申請落地簽證嗎？
外交部領事事務局 如果我正在郵輪旅行，需要申請電子簽證嗎？
外交部領事事務局 我的孩子和我共用護照，需要分開申請電子簽證嗎？
外交部領事事務局 適用電子簽證國家人民亦得申請落地簽證嗎？
外交部領事事務局 如果我不離開轉機區，需要申請電子簽證嗎？
外交部領事事務局 我能以家庭或團體的名義提出申請eVisa嗎?
外交部領事事務局 我國電子簽證作業流程簡圖
外交部領事事務局 國外文件驗證流程？
外交部領事事務局 經我駐外館處驗證之授權書持回國內，向本局或外交部國內各辦事處申請複驗或使用前，可以再增減文字或蓋章嗎？
外交部領事事務局 國外文件可以直接請駐台機關驗證嗎？
外交部領事事務局 外交部可以幫忙翻譯國外文件嗎？
外交部領事事務局 駐外館處辦理文件證明之規費費用?
外交部領事事務局 旅外國人如何辦理為處理國內不動產買賣、贈與及抵押等之授權書？授權書的效期多久?
外交部領事事務局 國外「學歷正影本相符」如何收費？
外交部領事事務局 可受理國外學歷「正影本相符」之國家館處？
外交部領事事務局 已返國之留學生，如何辦理國外的畢業證書及成績單驗證？
外交部領事事務局 可以郵寄送件申辦嗎？
外交部領事事務局 國外文件要去哪裏驗證？
外交部領事事務局 (外)祖父母可代送未成年(外)孫子女文件嗎?
外交部領事事務局 文件當事人及關係人如何認定？
外交部領事事務局 申辦文件證明時繳附的身分證明文件一定要「身分證」嗎?
外交部領事事務局 在臺灣之外國人應用什麼身分證明文件申請文件證明？
外交部領事事務局 領件時要帶證件嗎?我要請朋友幫我領件，證件要交給朋友嗎？
外交部領事事務局 申辦文件證明需要預約嗎?
外交部領事事務局 我沒有時間去取件，你們會幫我保管文件嗎？會保管多久？
外交部領事事務局 文件證明的收費方式？多久可取件？
外交部領事事務局 文件證明受理時間?
外交部領事事務局 何謂文件證明？
外交部領事事務局 領務局或外交部國內各辦事處受理文件證明業務的程序為何?
外交部領事事務局 本部及駐外館處受理文件證明的範圍為何？
外交部領事事務局 大陸文書如何驗證?
外交部領事事務局 文件證明申請表如何填寫？
外交部領事事務局 驗證後之文件，可以拆開影印或塗改內容嗎？
