部門 問題
臺北市政府捷運工程局 交通維持>請說明臺中捷運工程內容？
臺北市政府捷運工程局 交通維持>請說明臺中捷運綠線部分車站之土地開發之情形？
臺北市政府捷運工程局 交通維持>環狀線北機廠目前規劃？
臺北市政府捷運工程局 有關衛福部目前所採行之樂生療養院入口意象方案，因樂生保留自救會與青年樂生聯盟反對，以致遲遲無法施作，是否會連帶影響捷運新莊機廠營運？
臺北市政府捷運工程局 有關環狀線臺北市區段植栽移植先期工程CF693標概述。
臺北市政府捷運工程局 拆遷補償>人口搬遷補助費之請領依據及標準如何？有否人口數之限制？由誰代表領取？
臺北市政府捷運工程局 拆遷補償>供捷運工程穿越使用設定（或徵收）地上權或註記之私有公共設施保留地，得否依「都市計畫容積移轉實施辦法」之規定辦理容積移轉？
臺北市政府捷運工程局 拆遷補償>拆遷獎勵金之請領依據及標準為何？
臺北市政府捷運工程局 拆遷補償>捷運工程穿越私有土地註記於土地登記簿之補償標準為何？另建物補償計算基準為何？
臺北市政府捷運工程局 拆遷補償>捷運系統工程穿越公私有土地之上空或地下之法令依據？其使用空間範圍為何？是否有公告周知？穿越補償範圍之土地面積如何計算？
臺北市政府捷運工程局 拆遷補償>捷運系統工程穿越私有土地，除穿越補償費外，是否可減免其他稅賦？
臺北市政府捷運工程局 拆遷補償>捷運系統工程穿越私有土地之上空或地下，於土地登記簿標示部註明「捷運系統工程穿越地」之適用條件為何？其補償費如何計算？如何發放補償費？
臺北市政府捷運工程局 拆遷補償>捷運系統工程穿越私有土地之上空或地下，設定地上權之適用條件為何？其補償費如何計算？
臺北市政府捷運工程局 拆遷補償>捷運系統工程穿越私有土地以設定地上權方式辦理時，是否需與土地所有人協議？協議不成時如何處理？
臺北市政府捷運工程局 拆遷補償>捷運系統工程穿越私有土地致不能為相當之使用時，可申請徵收土地所有權，其條件為何？何時申請？如何申請？
臺北市政府捷運工程局 拆遷補償>捷運系統工程穿越私有土地辦理補償之程序為何？
臺北市政府捷運工程局 拆遷補償>捷運沿線商家或住家有無減稅及其他補償措施？
臺北市政府捷運工程局 拆遷補償>捷運徵收私有土地之補償標準及依據為何？
臺北市政府捷運工程局 拆遷補償>被徵收土地之殘餘部分面積過小或形勢不整，致不能為相當之使用時，如何處理？
臺北市政府捷運工程局 拆遷補償>被徵收土地所有權人，除土地補償費外，還可請領何種補償費或獎勵金等？請領標準及依據為何？
臺北市政府捷運工程局 拆遷補償>臺北市合法建物之拆遷補償費如何計算，標準為何？
臺北市政府捷運工程局 拆遷補償>臺北市轄違章建築之拆遷處理費之認定及計算方式為何？
臺北市政府捷運工程局 拆遷補償>徵收或協議價購私有土地之補償費可否享免徵土地增值稅優惠？
臺北市政府捷運工程局 拆遷補償>徵收者安置費請領標準為何？何時發放？
臺北市政府捷運工程局 拆遷補償>徵收者或參與開發協議優惠價購者，就地上物各項補償費發給時機二者有何不同？
臺北市政府捷運工程局 拆遷補償>營業損失補助之請領標準為何？如何計算？
臺北市政府捷運工程局 為什麼男女廁所入口有設置使用狀況顯示盤？
臺北市政府捷運工程局 捷運北環段路線經過哪裡?何時開工?
臺北市政府捷運工程局 捷運局第一區工程處代辦文化局「臺北市立美術館典藏庫房新建暨南進門改善統包工程」案之位置、工程內容及時程為？
臺北市政府捷運工程局 捷運車站有哪些火災警報設施及設置目的，火災發生時旅客如何疏散？
臺北市政府捷運工程局 捷運施工後，如何減輕對周邊交通及居民生活環境影響？
臺北市政府捷運工程局 捷運連續壁及開挖施工，如何預防鄰近建築物沉陷及受損？
臺北市政府捷運工程局 捷運新北投站增設第二出入口工程內容及完工時程？
臺北市政府捷運工程局 捷運萬大線第一期工程由第一區工程處所負責監造之工程範圍及車站位置？
臺北市政府捷運工程局 捷運環狀線CF660A區段標工程何時辦理驗收?
臺北市政府捷運工程局 捷運環狀線北環段交會站簡介
臺北市政府捷運工程局 捷運環狀線北環段先期工程目前招標狀況。
臺北市政府捷運工程局 現階段職場防疫是否強制所有勞工於工作場所中皆須配戴口罩?
臺北市政府捷運工程局 第一區工程處如何督導確保工地材料符合規定？
臺北市政府捷運工程局 第一區工程處轄管施工之捷運萬大線（第一期工程）各車站的主要工程內容及特色為何？
臺北市政府捷運工程局 禁限建>大眾捷運系統兩側禁建限建辦法的法源依據為何？
臺北市政府捷運工程局 禁限建>如何查詢個人所屬之房屋土地是否在捷運限建禁建範圍？
臺北市政府捷運工程局 禁限建>依限建規定，建物新建或改建須經建管單位及捷運局共同審查，是否會增加取得建照之時程或無法取得建照之情形？
臺北市政府捷運工程局 禁限建>座落於捷運限建區的建物是否會因「限建」之名稱而造成地價下滑，進而影響住戶之權益？
臺北市政府捷運工程局 禁限建>捷運文湖線高架路段之高度多少？大概是幾層樓高？
臺北市政府捷運工程局 禁限建>當新建建物因捷運隧道結構之禁建範圍而需退縮一公尺時，對新建建物之容積率是否有對應之補償機制？
臺北市政府捷運工程局 禁限建>對於捷運系統結構的保障，已有劃設禁建範圍，為何仍需劃設限建範圍，反易造成民怨？
臺北市政府捷運工程局 萬大線金城機廠及莒光車站目前工作進度如何及預定何時完工？
臺北市政府捷運工程局 萬大線金城機廠及莒光站主要工程內容及特色為何？
臺北市政府捷運工程局 路網規劃>台北捷運系統的便利性。
臺北市政府捷運工程局 路網規劃>台北捷運系統為我們帶來的好處。
臺北市政府捷運工程局 路網規劃>台北捷運車站規劃的原則。
臺北市政府捷運工程局 路網規劃>台北捷運路線規劃原則。
臺北市政府捷運工程局 路網規劃>台北都會區大眾捷運系統已營運路網之規劃構想為何
臺北市政府捷運工程局 路網規劃>有關捷運南環段Y2及Y2A之規劃過程？是否與當地居民充分溝通？
臺北市政府捷運工程局 路網規劃>為何捷運路線最小曲率半徑要定為200公尺
臺北市政府捷運工程局 路網規劃>捷運系統型式。
臺北市政府捷運工程局 路網規劃>捷運規劃中路線有那些？行經路線為何
臺北市政府捷運工程局 路網規劃>捷運路線線形佈設的原則為何
臺北市政府捷運工程局 路網規劃Q01>何謂L型路網，對旅客有何好處？
臺北市政府捷運工程局 路網規劃Q04>小碧潭支線可否併入綠線營運？
臺北市政府捷運工程局 臺北市立美術館典藏庫房新建工程目前招標狀況。
臺北市政府捷運工程局 臺北市至善路2段於故宮博物院附近最近有捷運工程圍籬架設，請問是施作什麼工程?預計何時完成?
臺北市政府捷運工程局 機電設施>文湖線新購的電聯車為什麼不改寬一點？
臺北市政府捷運工程局 機電設施>目前捷運線上營運之高運量電聯車，最多可裝載多少人？
臺北市政府捷運工程局 機電設施>捷運文湖線列車為什麼跟其他線列車不同?
臺北市政府捷運工程局 機電設施>捷運系統電扶梯是否會發生倒滑事件?
臺北市政府捷運工程局 機電設施>捷運系統電扶梯是否會發生踏階破裂傷人事件。
臺北市政府捷運工程局 機電設施>新莊線/蘆洲線/南港東延段/新店小碧潭站/以及臺北捷運公司24列電聯車工程新採購之高運量電聯車有哪些新增功能？
臺北市政府捷運工程局 機電設施>裝設捷運月台門有何優點？
臺北市政府捷運工程局 機電設施>臺北捷運系統電扶梯為何忽快忽慢？
臺北市政府捷運工程局 機電設施>環狀線第一階段工程之路線與型式為何？
臺北市政府捷運工程局 機電設施>捷運文湖線電聯車可以像淡水線電聯車一樣搭載腳踏車嗎?
臺北市政府捷運工程局 機電設計>內湖線經過松山機場，車站收費閘門有無針對航空旅客大件行李通行的特別考量？
臺北市政府捷運工程局 機電設計>文湖線行車監控系統(CBTC)更新之前木柵線有何具體改進？
臺北市政府捷運工程局 機電設計>台北捷運系統之車廂尺寸為何？
臺北市政府捷運工程局 機電設計>台北捷運高運量號誌系統之行控中心是否可監控文湖線中運量捷運之號誌系統？
臺北市政府捷運工程局 機電設計>台北捷運高運量電聯車是否允許乘客攜帶腳踏車進入車廂？
臺北市政府捷運工程局 機電設計>台北捷運新莊線蘆洲線機廠之維修規模等級為何？
臺北市政府捷運工程局 機電設計>台北捷運新購之高運量列車有那些設計特色？
臺北市政府捷運工程局 機電設計>台北捷運路網各路線是否均有專屬之維修機廠？是否可共用既有之機廠？
臺北市政府捷運工程局 機電設計>台北捷運環狀線(第一階段)南機廠之維修規模等級為何?
臺北市政府捷運工程局 機電設計>台北都會區大眾捷運系統路網中，各路線所採購之列車數為何？
臺北市政府捷運工程局 機電設計>列車上旅客遇緊急事件時如何反映通知捷運服務人員？
臺北市政府捷運工程局 機電設計>自動收費閘門同一車票進出同一車站及全線完成旅程限制為何？
臺北市政府捷運工程局 機電設計>建議捷運車輛可仿效國外(如日本)，以不同車身顏色來區分列車行駛路線(如板南線列車塗藍色線條，淡水線列車塗紅色線條等)，以方便旅客搭車時分辨列車之行駛路線。
臺北市政府捷運工程局 機電設計>捷運之主變電站附近地區據說電磁波會影響人體健康，請說明。
臺北市政府捷運工程局 機電設計>捷運主變電站其安全性如何？
臺北市政府捷運工程局 機電設計>捷運系統之電力供應方式如何供應給電聯車使用？
臺北市政府捷運工程局 機電設計>捷運車站的旅客資訊顯示器有何功能？
臺北市政府捷運工程局 機電設計>捷運通訊傳輸系統為何使用光纖？
臺北市政府捷運工程局 機電設計>捷運閉路電視(CCTV)系統如何朝數位化發展?
臺北市政府捷運工程局 機電設計>捷運單程車票可由哪種設備購得?單程票與悠遊卡有什麼不一樣之處?
臺北市政府捷運工程局 機電設計>捷運號誌系統之主要組成為何？
臺北市政府捷運工程局 機電設計>捷運電力系統之主變電站是否電磁場干擾問題？
臺北市政府捷運工程局 機電設計>捷運機廠之存在是否會降低環境品質或影響生活品質？
臺北市政府捷運工程局 機電設計>捷運機廠之運轉是否會產生噪音而影響附近居民安寧？
臺北市政府捷運工程局 機電設計>當捷運車站發生火災或緊急事故時，旅客可透過何種途獲得通報？
臺北市政府捷運工程局 機電設計>請問捷運自動收費系統為何要設置無障礙閘門？
臺北市政府捷運工程局 機電設計>請問捷運第三軌電力使用750V直流電供應電聯車，而電聯車車上設備係採用直流電源或交流電源？
臺北市政府捷運工程局 機電設計>請說明台北捷運路網採用何種通訊傳輸系統？
臺北市政府捷運工程局 機電設計>請說明台北捷運路網採用何種無線電系統？
臺北市政府捷運工程局 機電設計>請說明目前臺北捷運常客優惠方案(實施日期自2020年2月1日起)?
臺北市政府捷運工程局 機電設計>請說明捷運文湖線列車與舊有木柵線列車之差異性？
臺北市政府捷運工程局 機電設計>請說明新一代的捷運收費閘門為何種型式?
臺北市政府捷運工程局 機電設計>整體路網月台門政策變遷？
臺北市政府捷運工程局 環狀線北環段簡介
臺北市政府捷運工程局 環狀線車站月台夏天悶熱問題
臺北市政府捷運工程局 環狀線捷運高架車站以自然通風換氣及局部空調設計概念？
臺北市政府捷運工程局 聯合開發>土地開發大樓什麼時候動工、什麼時候完工？是否可以在「臺北都會區大眾捷運系統土地開發投資契約書」中訂定？
臺北市政府捷運工程局 聯合開發>土地開發用地有那幾種取得方式？
臺北市政府捷運工程局 聯合開發>土地開發用地的地主如果不願意參加土地開發時，將如何處理？
臺北市政府捷運工程局 聯合開發>土地開發用地範圍內的合法建築物及違章建築要怎麼認定？
臺北市政府捷運工程局 聯合開發>土地開發用地範圍內的地上物有什麼處理原則？
臺北市政府捷運工程局 聯合開發>土地開發用地範圍內的私有土地是不是可以比照市價辦理徵收？
臺北市政府捷運工程局 聯合開發>土地開發有那些開發型態？
臺北市政府捷運工程局 聯合開發>土地開發投資人的義務為何？
臺北市政府捷運工程局 聯合開發>土地開發的權利關係人，權益分配是依據什麼標準計算？
臺北市政府捷運工程局 聯合開發>土地開發的權利關係人，權益分配是依據什麼標準計算？土地開發建物之區位及坪數怎麼分配的？
臺北市政府捷運工程局 聯合開發>土地開發與捷運設施有那些結合方式？
臺北市政府捷運工程局 聯合開發>土地開發興建時程
臺北市政府捷運工程局 聯合開發>什麼叫做土地開發？
臺北市政府捷運工程局 聯合開發>交通用地(捷運用地)之毗鄰土地參與土地開發，有什麼好處？
臺北市政府捷運工程局 聯合開發>地主參加土地開發可以得到那些實質的利益和獎勵？
臺北市政府捷運工程局 聯合開發>如何進行協議土地開發簽約、協議購買或徵收？
臺北市政府捷運工程局 聯合開發>為什麼要辦理土地開發？
臺北市政府捷運工程局 聯合開發>參加土地開發之土地，有無減免地價稅之規定？
臺北市政府捷運工程局 聯合開發>設計土地開發大樓時地主是不是可以參與並提出意見？
臺北市政府捷運工程局 聯合開發>擁有店面之地主參加土地開發，是不是可以優先分配店面？
臺北市政府捷運工程局 聯合開發>簽訂協議價購協議書者，可取得相關獎勵之規定？
